url_length,url_entropy,url_digit_ratio,url_special_ratio,has_https,has_ip,domain_length,domain_entropy,num_subdomains,domain_digit_ratio,num_hyphens,num_underscores,suspicious_tld,domain_has_vowels,path_length,num_path_segments,path_entropy,has_exe,query_length,num_query_params,query_entropy,ttl_normalized,name_server_count,domain_age_days,has_page_rank,has_alexa_rank,has_organization,has_registrant,is_shortened,has_punycode,obfuscated,label,source
43,4.507432777857285,0.27906976744186046,0.20930232558139536,0.0,1.0,14,2.8423709931771093,0,0.7857142857142857,0,0,0.0,0.0,22,2,3.8796640049025934,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,urlhaus_text
16,3.452819531114783,0.25,0.3125,0.0,0.0,8,3.0,0,0.5,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,majestic_million
30,4.256564762130954,0.2,0.2,1.0,0.0,13,3.5465935642949384,1,0.07692307692307693,0,0,0.0,1.0,9,1,2.94770277922009,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,urlhaus_text
31,3.897587036123537,0.41935483870967744,0.2903225806451613,0.0,1.0,17,2.9842341646524884,0,0.7647058823529411,0,0,0.0,0.0,7,1,2.807354922057604,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,urlhaus_text
22,3.754441845713344,0.0,0.22727272727272727,0.0,0.0,14,3.3248629576173574,0,0.0,0,0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,majestic_million
95,4.745202251213956,0.3263157894736842,0.24210526315789474,0.0,1.0,19,3.1158340921632197,0,0.7894736842105263,0,0,0.0,0.0,69,5,4.474163588181546,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,urlhaus_csv_online
35,4.0360069453309535,0.08571428571428572,0.2571428571428571,1.0,0.0,11,3.2776134368191165,0,0.0,0,0,0.0,1.0,16,1,3.577819531114783,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,urlhaus_text
33,4.003044786734203,0.45454545454545453,0.2727272727272727,0.0,1.0,19,3.1761102515172537,0,0.7894736842105263,0,0,0.0,0.0,7,1,2.807354922057604,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,urlhaus_text
28,3.8518232255517657,0.39285714285714285,0.2857142857142857,0.0,1.0,14,2.610577243331642,0,0.7857142857142857,0,0,0.0,0.0,7,1,2.807354922057604,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,urlhaus_text
26,4.026986833359286,0.0,0.19230769230769232,0.0,0.0,18,3.7254805569978675,0,0.0,0,0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,majestic_million
20,3.6841837197791887,0.0,0.25,0.0,0.0,12,3.2516291673878226,0,0.0,0,0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,majestic_million
30,3.7144093452479403,0.5666666666666667,0.26666666666666666,0.0,1.0,21,3.105672184271432,0,0.8095238095238095,0,0,0.0,0.0,2,1,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,urlhaus_text
157,5.131782577933889,0.2484076433121019,0.24203821656050956,0.0,1.0,20,2.8232196723355076,0,0.8,0,0,0.0,0.0,130,13,5.059194207382456,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,urlhaus_text
